x,y,z,mass,face_id,layer_id,density_input,mu
-1.03999054e+00,4.29053654e-01,-5.35372883e-01,9.18098559e+07,1975,30,1.72700000e+00,6.12748275e-12
-1.07524446e+00,4.43597846e-01,-5.53521117e-01,9.81391451e+07,1975,31,1.72700000e+00,6.54990592e-12
-1.11049837e+00,4.58142038e-01,-5.71669350e-01,1.04679411e+08,1975,32,1.72700000e+00,6.98640986e-12
-1.14575229e+00,4.72686229e-01,-5.89817583e-01,1.11430652e+08,1975,33,1.72700000e+00,7.43699458e-12
-1.18100621e+00,4.87230421e-01,-6.07965817e-01,1.18392870e+08,1975,34,1.72700000e+00,7.90166006e-12
-1.21626013e+00,5.01774612e-01,-6.26114050e-01,1.25566065e+08,1975,35,1.72700000e+00,8.38040632e-12
-1.25151404e+00,5.16318804e-01,-6.44262283e-01,1.32950236e+08,1975,36,1.72700000e+00,8.87323335e-12
-1.28676796e+00,5.30862996e-01,-6.62410517e-01,1.40545383e+08,1975,37,1.72700000e+00,9.38014116e-12
-1.32202188e+00,5.45407188e-01,-6.80558750e-01,1.48351506e+08,1975,38,1.72700000e+00,9.90112973e-12
-1.35727579e+00,5.59951379e-01,-6.98706983e-01,1.56368606e+08,1975,39,1.72700000e+00,1.04361991e-11
-1.39252971e+00,5.74495571e-01,-7.16855217e-01,1.64596681e+08,1975,40,1.72700000e+00,1.09853492e-11
-2.64404375e-02,1.09081438e-02,-1.36111750e-02,3.51627177e+04,1975,1,1.72700000e+00,2.34679539e-15
-5.43652500e-02,2.05345875e-02,-2.79758500e-02,3.80941466e+05,1976,2,1.72700000e+00,2.54244192e-14
-9.06087500e-02,3.42243125e-02,-4.66264167e-02,1.03398398e+06,1976,3,1.72700000e+00,6.90091379e-14
-1.26852250e-01,4.79140375e-02,-6.52769833e-02,2.01354775e+06,1976,4,1.72700000e+00,1.34386216e-13
-1.63095750e-01,6.16037625e-02,-8.39275500e-02,3.31963278e+06,1976,5,1.72700000e+00,2.21555653e-13
-1.99339250e-01,7.52934875e-02,-1.02578117e-01,4.95223906e+06,1976,6,1.72700000e+00,3.30517450e-13
-2.35582750e-01,8.89832125e-02,-1.21228683e-01,6.91136660e+06,1976,7,1.72700000e+00,4.61271606e-13
-2.71826250e-01,1.02672937e-01,-1.39879250e-01,9.19701540e+06,1976,8,1.72700000e+00,6.13818121e-13
-3.08069750e-01,1.16362662e-01,-1.58529817e-01,1.18091855e+07,1976,9,1.72700000e+00,7.88156995e-13
-3.44313250e-01,1.30052388e-01,-1.77180383e-01,1.47478768e+07,1976,10,1.72700000e+00,9.84288229e-13
-3.80556750e-01,1.43742112e-01,-1.95830950e-01,1.80130893e+07,1976,11,1.72700000e+00,1.20221182e-12
-4.16800250e-01,1.57431837e-01,-2.14481517e-01,2.16048232e+07,1976,12,1.72700000e+00,1.44192778e-12
-4.53043750e-01,1.71121562e-01,-2.33132083e-01,2.55230782e+07,1976,13,1.72700000e+00,1.70343609e-12
-4.89287250e-01,1.84811287e-01,-2.51782650e-01,2.97678546e+07,1976,14,1.72700000e+00,1.98673676e-12
-5.25530750e-01,1.98501012e-01,-2.70433217e-01,3.43391522e+07,1976,15,1.72700000e+00,2.29182979e-12
-5.61774250e-01,2.12190738e-01,-2.89083783e-01,3.92369710e+07,1976,16,1.72700000e+00,2.61871518e-12
-5.98017750e-01,2.25880462e-01,-3.07734350e-01,4.44613111e+07,1976,17,1.72700000e+00,2.96739293e-12
-6.34261250e-01,2.39570187e-01,-3.26384917e-01,5.00121725e+07,1976,18,1.72700000e+00,3.33786304e-12
-6.70504750e-01,2.53259912e-01,-3.45035483e-01,5.58895551e+07,1976,19,1.72700000e+00,3.73012550e-12
-7.06748250e-01,2.66949638e-01,-3.63686050e-01,6.20934590e+07,1976,20,1.72700000e+00,4.14418033e-12
-7.42991750e-01,2.80639362e-01,-3.82336617e-01,6.86238841e+07,1976,21,1.72700000e+00,4.58002752e-12
-7.79235250e-01,2.94329087e-01,-4.00987183e-01,7.54808305e+07,1976,22,1.72700000e+00,5.03766706e-12
-8.15478750e-01,3.08018812e-01,-4.19637750e-01,8.26642982e+07,1976,23,1.72700000e+00,5.51709897e-12
-8.51722250e-01,3.21708537e-01,-4.38288317e-01,9.01742871e+07,1976,24,1.72700000e+00,6.01832323e-12
-8.87965750e-01,3.35398262e-01,-4.56938883e-01,9.80107972e+07,1976,25,1.72700000e+00,6.54133986e-12
-9.24209250e-01,3.49087987e-01,-4.75589450e-01,1.06173829e+08,1976,26,1.72700000e+00,7.08614884e-12
-9.60452750e-01,3.62777712e-01,-4.94240017e-01,1.14663381e+08,1976,27,1.72700000e+00,7.65275018e-12
-9.96696250e-01,3.76467437e-01,-5.12890583e-01,1.23479455e+08,1976,28,1.72700000e+00,8.24114388e-12
-1.03293975e+00,3.90157162e-01,-5.31541150e-01,1.32622050e+08,1976,29,1.72700000e+00,8.85132994e-12
-1.06918325e+00,4.03846888e-01,-5.50191717e-01,1.42091167e+08,1976,30,1.72700000e+00,9.48330836e-12
-1.10542675e+00,4.17536612e-01,-5.68842283e-01,1.51886805e+08,1976,31,1.72700000e+00,1.01370791e-11
-1.14167025e+00,4.31226338e-01,-5.87492850e-01,1.62008964e+08,1976,32,1.72700000e+00,1.08126423e-11
-1.17791375e+00,4.44916062e-01,-6.06143417e-01,1.72457644e+08,1976,33,1.72700000e+00,1.15099978e-11
-1.21415725e+00,4.58605787e-01,-6.24793983e-01,1.83232845e+08,1976,34,1.72700000e+00,1.22291456e-11
-1.25040075e+00,4.72295512e-01,-6.43444550e-01,1.94334568e+08,1976,35,1.72700000e+00,1.29700859e-11
-1.28664425e+00,4.85985238e-01,-6.62095117e-01,2.05762812e+08,1976,36,1.72700000e+00,1.37328184e-11
-1.32288775e+00,4.99674963e-01,-6.80745683e-01,2.17517577e+08,1976,37,1.72700000e+00,1.45173434e-11
-1.35913125e+00,5.13364687e-01,-6.99396250e-01,2.29598864e+08,1976,38,1.72700000e+00,1.53236607e-11
-1.39537475e+00,5.27054412e-01,-7.18046817e-01,2.42006671e+08,1976,39,1.72700000e+00,1.61517703e-11
-1.43161825e+00,5.40744137e-01,-7.36697383e-01,2.54741000e+08,1976,40,1.72700000e+00,1.70016723e-11
-2.71826250e-02,1.02672937e-02,-1.39879250e-02,5.44202095e+04,1976,1,1.72700000e+00,3.63205989e-15
-5.77756250e-02,2.20172625e-02,-2.77201125e-02,5.38402291e+05,1977,2,1.72700000e+00,3.59335141e-14
-9.62927083e-02,3.66954375e-02,-4.62001875e-02,1.46137765e+06,1977,3,1.72700000e+00,9.75338239e-14
-1.34809792e-01,5.13736125e-02,-6.46802625e-02,2.84584068e+06,1977,4,1.72700000e+00,1.89934289e-13
-1.73326875e-01,6.60517875e-02,-8.31603375e-02,4.69179139e+06,1977,5,1.72700000e+00,3.13134908e-13
-2.11843958e-01,8.07299625e-02,-1.01640412e-01,6.99922978e+06,1977,6,1.72700000e+00,4.67135683e-13
-2.50361042e-01,9.54081375e-02,-1.20120487e-01,9.76815584e+06,1977,7,1.72700000e+00,6.51936612e-13
-2.88878125e-01,1.10086313e-01,-1.38600562e-01,1.29985696e+07,1977,8,1.72700000e+00,8.67537697e-13
-3.27395208e-01,1.24764488e-01,-1.57080638e-01,1.66904710e+07,1977,9,1.72700000e+00,1.11393894e-12
-3.65912292e-01,1.39442663e-01,-1.75560713e-01,2.08438601e+07,1977,10,1.72700000e+00,1.39114033e-12
-4.04429375e-01,1.54120837e-01,-1.94040788e-01,2.54587369e+07,1977,11,1.72700000e+00,1.69914188e-12
-4.42946458e-01,1.68799012e-01,-2.12520862e-01,3.05351013e+07,1977,12,1.72700000e+00,2.03794358e-12
-4.81463542e-01,1.83477187e-01,-2.31000938e-01,3.60729535e+07,1977,13,1.72700000e+00,2.40754544e-12
-5.19980625e-01,1.98155362e-01,-2.49481013e-01,4.20722933e+07,1977,14,1.72700000e+00,2.80794746e-12
-5.58497708e-01,2.12833538e-01,-2.67961088e-01,4.85331208e+07,1977,15,1.72700000e+00,3.23914963e-12
-5.97014792e-01,2.27511713e-01,-2.86441163e-01,5.54554359e+07,1977,16,1.72700000e+00,3.70115195e-12
-6.35531875e-01,2.42189887e-01,-3.04921237e-01,6.28392388e+07,1977,17,1.72700000e+00,4.19395443e-12
-6.74048958e-01,2.56868062e-01,-3.23401312e-01,7.06845293e+07,1977,18,1.72700000e+00,4.71755706e-12
-7.12566042e-01,2.71546238e-01,-3.41881387e-01,7.89913075e+07,1977,19,1.72700000e+00,5.27195985e-12
-7.51083125e-01,2.86224412e-01,-3.60361463e-01,8.77595734e+07,1977,20,1.72700000e+00,5.85716279e-12
-7.89600208e-01,3.00902587e-01,-3.78841538e-01,9.69893269e+07,1977,21,1.72700000e+00,6.47316589e-12
-8.28117292e-01,3.15580762e-01,-3.97321613e-01,1.06680568e+08,1977,22,1.72700000e+00,7.11996915e-12
-8.66634375e-01,3.30258937e-01,-4.15801687e-01,1.16833297e+08,1977,23,1.72700000e+00,7.79757255e-12
-9.05151458e-01,3.44937112e-01,-4.34281762e-01,1.27447514e+08,1977,24,1.72700000e+00,8.50597612e-12
-9.43668542e-01,3.59615288e-01,-4.52761838e-01,1.38523218e+08,1977,25,1.72700000e+00,9.24517983e-12
-9.82185625e-01,3.74293463e-01,-4.71241913e-01,1.50060410e+08,1977,26,1.72700000e+00,1.00151837e-11
-1.02070271e+00,3.88971638e-01,-4.89721988e-01,1.62059089e+08,1977,27,1.72700000e+00,1.08159877e-11
-1.05921979e+00,4.03649813e-01,-5.08202062e-01,1.74519257e+08,1977,28,1.72700000e+00,1.16475919e-11
-1.09773687e+00,4.18327987e-01,-5.26682138e-01,1.87440912e+08,1977,29,1.72700000e+00,1.25099963e-11
-1.13625396e+00,4.33006162e-01,-5.45162213e-01,2.00824054e+08,1977,30,1.72700000e+00,1.34032007e-11
-1.17477104e+00,4.47684338e-01,-5.63642288e-01,2.14668685e+08,1977,31,1.72700000e+00,1.43272054e-11
-1.21328813e+00,4.62362512e-01,-5.82122363e-01,2.28974803e+08,1977,32,1.72700000e+00,1.52820102e-11
-1.25180521e+00,4.77040687e-01,-6.00602437e-01,2.43742408e+08,1977,33,1.72700000e+00,1.62676152e-11
-1.29032229e+00,4.91718862e-01,-6.19082512e-01,2.58971502e+08,1977,34,1.72700000e+00,1.72840203e-11
-1.32883938e+00,5.06397037e-01,-6.37562588e-01,2.74662083e+08,1977,35,1.72700000e+00,1.83312255e-11
-1.36735646e+00,5.21075212e-01,-6.56042662e-01,2.90814152e+08,1977,36,1.72700000e+00,1.94092310e-11
